ID;Event;Status;Request_ID;Description;Customer;Due Date;Forecast Scope
15;Order;Done;N730711 UW Etzenricht-Bechterdissen;Relocation + Modifications (new LV-Pfisterer, fixation points for ladders, new stairs to platform);GER;28/02/26;On-site Refurbishment
16;Order;Done;N730704 Qushawira;power increase with new fans+new cubicle, adjustment of platform;GER;28/02/26;On-site Refurbishment
17;Offer;Done;AE25_303 Shuweihat 262;bushing exchange;GER;15/01/26;Replacement of bushings, shield-electrodes and CT's
18;Order;Done;N730700 ENetz Möhrfelden;power increase with new fans and control cubicle;GER;31/01/26;On-site Refurbishment
19;Order;Done;N730707 UW Daxlanden;3 Transformators, complete new secondary euqipment, bushing exchange;GER;31/03/26;"Protection devices, wiring/cabling, cubicles, monitoring;#Replacement of bushings, shield-electrodes and CT's"
20;Order;Done;N730708 UW Stalldorf T412;platform installation;GER;05/02/26;On-site Refurbishment
21;Order;Done;N730714 UW Pulverdingen ABB;platform installation;GER;28/02/26;On-site Refurbishment
22;Order;Done;D581047 Pfalzwerke;power increase (fans+controll cubicle);GER;28/02/26;Uprating
23;Order;Done;D527213 Trimet;inhouse refurbishment;GER;31/01/26;On-site Repair
24;Offer;Done;AM26_003hue UW Helmstedt T412;;GER;18/12/25;"On-site Refurbishment;#Replacement of bushings, shield-electrodes and CT's;#Protection devices, wiring/cabling, cubicles, monitoring"
25;Offer;Done;AM26_049KE Wesernetz Bühne+Latchways;;GER;19/12/25;On-site Refurbishment
29;Offer;On Hold;EDF-Repair 570MVA-400kV-Paluel-Strategic_Spare-FR;Repair of a Single-Phase unit 570MVA for EDF / FR;RRL;22/12/25;In-House Repair
30;Offer;Done;AM26_055hue_TransnetBW UW Engstlatt T311_Nachtrag Engineering;Check electr. clearance to surrounding equipment in substation and make proposal sketch how to arrange new platforms.;GER;31/12/25;On-site Refurbishment
31;Offer;Done;CS-D 21-058  Azura Edo Study;Offer support: Check available documentation and give feedback whether study can be done and how many hours have to be calculated;GER;31/01/26;Uprating
32;Offer;Done;AM26_051stf_UW_Grünkraut_T311_SMITT_220244_Sekundärtechnik;Constructive support for offer preparation;GER;26/02/26;Protection devices, wiring/cabling, cubicles, monitoring
33;Offer;Done;AM26_052stf_UW_Grünkraut_T312_SIEMENS_N408157_Sekundärtechnik;Constructive support for offer preparation;GER;26/02/26;Protection devices, wiring/cabling, cubicles, monitoring
34;Offer;Done;S.261054 - SGRE_DK_Schneider_Fremdtrafo_REP_KAN;"Background

The investigation identified insufficient welded connections within the LV copper bus ducts, which are composed of multiple copper flat conductors. The findings indicate potential risks, including:

Reduced effective conductor cross-section at weld locations

Increased electrical resistance due to poor or inconsistent weld quality

Potential loosening or degradation of electrical contact over time

Elevated risk of localized overheating and long-term reliability issues

These risks may negatively impact electrical performance, thermal behavior, and overall system reliability.

Engineering Demand

We formally request a design change from welded busbar connections to crimped connections, ensuring:

Stable and repeatable electrical contact

Improved mechanical robustness

Lower contact resistance

Enhanced long-term reliability under thermal cycling and operational loads

The proposed crimped connection shall be designed, validated, and qualified according to applicable standards and internal engineering guidelines.

Requested Actions

Engineering evaluation of the proposed crimped busbar connection design

Definition of applicable crimping method, tooling, and quality controls

Electrical and thermal validation (including resistance and temperature rise)

Assessment of manufacturability and implementation timeline

Please provide your technical assessment, feasibility, and proposed next steps at your earliest convenience.";AT;28/02/26;In-House Repair
35;Offer;Done;S.261078 - SE_PL_Mikulowa_Bushing_SPA_YEY;"Bushing Exchange  on two-phase shifters.
All relevant information is in Fabasoft s.261078. 
Here is one problem that needs your attention.
In the tender documentation, the Customer demands a change to the existing leads.

The existing two M12 cable lugs (for two 185 mm² cables) are rated for currents up to 2 x 800 A = 1600 A.
Depending on the bushing type and the manufacturer of the lug socket (oil-filled) at the winding output, the connection must be adjusted accordingly.

From my point of view the bottleneck is the two 185 mm² copper cables. For a current of 2000 A, four 185 mm² copper cables would be required.

The problem is that we would have to implement this solution on-site.

My theoretical solution is:

Have the copper conduit cut and crimp new cables together, but this carries the risk of contaminating the transformer.


";AT;16/01/26;Replacement of bushings, shield-electrodes and CT's
36;Order;In Progress;S.251079 - SE_US_ConEd_400MVA_Bushing_ret_SPA_YEY;"There is WA6800928 – Astoria. Service WA 3503399. 100 hours for ENG support were planned.
New HV bushings (Material number 21001297225) should be installed on a transformer. The drawings should be adapted accordingly. All necessary parts (adaptor flanges, pipes, etc..) should be ordered. 

Parts are already ordered
Bushing - BUSHING OA/A/RIS/S/362/1300/02000/32/475  SAP 2100129725 -3pcs
UMFORMUNG KALOTTE - 2100130963 - 3pcs
BUSHING BAYONET CONNECTION WITH TERMINAL - 2100140253 - 3pcs
Bushing end shield -2006015489 -3pcs

all relevant drawings are in Fabasoft or Agile

";AT;25/06/26;Replacement of bushings, shield-electrodes and CT's
